ID	Short	Title	Year	Section
966	Petrocheilos 1956c	The cave of Perama, Ioannina	1956	Bull. Soc. Speleol. Grèce 3:117–133.
967	Petrocheilos 1957a	The spring of Erkyni	1957	Bull. Soc. Speleol. Grèce 4:1–4.
968	Petrocheilos 1957b	On the discovery of the cave of Perama	1957	Bull. Soc. Speleol. Grèce 4:5–6.
969	Petrocheilos 1957c	Speleological researches at Valtos, Aitoloakarnania	1957	Bull. Soc. Speleol. Grèce 4:11–18.
970	Petrocheilos 1957d	The cave Sepetou (CRNr 847)	1957	Bull. Soc. Speleol. Grèce 4:41–45.
971	Petrocheilos 1958a	New researches at the cave Alepotrypa (CRNr 923)	1958	Bull. Soc. Speleol. Grèce 4:106–112.
972	Petrocheilos 1958b	Speleological researches in the area of Dyros, Lakonia	1958	Bull. Soc. Speleol. Grèce 4:57–95.
973	Petrocheilos 1958c	The cave of Oinoi B’ (CRNr 903)	1958	Bull. Soc. Speleol. Grèce 4:99–105.
974	Petrocheilos 1959a	The cave Ag Andreou of Kastania Voion (CRNr 982)	1959	Bull. Soc. Speleol. Grèce 5:1–8.
975	Petrocheilos 1959b	Speleological researches at Kefallinia	1959	Bull. Soc. Speleol. Grèce 5:23–70.
976	Petrocheilos 1960	A report on the study of the caves at Petralona (Chalkidiki)	1960	Bull. Soc. Speleol. Grèce 5:140–154.
977	Petrocheilou & Ioannou 1962	The cave “Kaloritsas” (CRNr 1395)	1962	Bull. Soc. Speleol. Grèce 6:43–49.
978	Petrocheilou & Panagiotidis 1980	Speleological researches at Kalymnos, Dodekanisa	1980	Bull. Soc. Speleol. Grèce 17:182–193.
979	Petrocheilou & Tsimpanis 1979	Sinkhole Peleton Kynourias, Arkadia	1979	Bull. Soc. Speleol. Grèce 16:25–33.
980	Petrocheilou 1952	Caves of Ipeiros	1952	Bull. Soc. Speleol. Grèce 1:261–266.
981	Petrocheilou 1955	The cave Katafyngi of Dyros	1955	Bull. Soc. Speleol. Grèce 3:71–72.
982	Petrocheilou 1959	The cave “Garzeniko” (CRNr 1064)	1959	Bull. Soc. Speleol. Grèce Hellenic Speleological Society.
983	Petrocheilou 1960a	Speleological researches at Epidavros, Limiras	1960	Bull. Soc. Speleol. Grèce 5:162–188.
984	Petrocheilou 1960b	The cave "Fengara’’ (CRNr 932)	1960	Bull. Soc. Speleol. Grèce 5:134–137.
985	Petrocheilou 1961a	The cave “Anemotrypa” of Pramanta, Ioannina (CRNr 1086)	1961	Bull. Soc. Speleol. Grèce 6:6–11.
986	Petrocheilou 1961b	The cave “Kipon” (CRNr 1085)	1961	Bull. Soc. Speleol. Grèce 6:2–5.
987	Petrocheilou 1961c	The pothole “Kritikou” (CRNr 1069)	1961	Bull. Soc. Speleol. Grèce 6:11–12.
